

Starting up round ID . 21:39:31
---------------------
[22:27:40]ATTACK: MiniusAreas(miniusareas) fired at floor with The bolt of fireball Fore Primary Hallway   (146,230,2)
[22:27:41]ATTACK: MiniusAreas(miniusareas) shot supper noob(noober84555) with The bolt of fireball (NEWHP: 998585) (146,231,2)
[22:27:50]ATTACK: MiniusAreas(miniusareas) fired at Dab Dab(ss13isaids) with The bolt of fireball Arrival Shuttle Hallway (NEWHP: 100) (154,252,2)
[22:27:51]ATTACK: MiniusAreas(miniusareas) shot Dab Dab(ss13isaids) with The bolt of fireball (NEWHP: 80) (154,252,2)
[22:27:54]ATTACK: Badass Syndrone (438)(deranging) fired at supper noob(noober84555) with The bolt of fireball Atrium (NEWHP: 998375) (143,226,2)
[22:27:54]ATTACK: Badass Syndrone (438)(deranging) shot supper noob(noober84555) with The bolt of fireball (NEWHP: 998355) (143,226,2)
[22:27:54]ATTACK: Badass Syndrone (438)(deranging) fired at supper noob(noober84555) with The bolt of fireball Atrium (NEWHP: 998145) (145,226,2)
[22:27:56]ATTACK: Badass Syndrone (438)(deranging) fired at supper noob(noober84555) with The bolt of fireball Delivery Office (NEWHP: 998145) (147,227,2)
[22:27:56]ATTACK: Badass Syndrone (438)(deranging) shot supper noob(noober84555) with The bolt of fireball (NEWHP: 998125) (147,227,2)
[22:28:01]ATTACK: MiniusAreas(miniusareas) fired at Unknown with The bolt of fireball Arrival Shuttle Hallway (NEWHP: -144.5) (154,252,2)
[22:28:01]ATTACK: MiniusAreas(miniusareas) shot Unknown with The bolt of fireball (NEWHP: -144.74) (154,252,2)
[22:28:17]ATTACK: supper noob(noober84555) fired at Atrium with The death bolt Fore Primary Hallway   (143,222,2)
[22:28:17]ATTACK: supper noob(noober84555) fired at Atrium with The death bolt Fore Primary Hallway   (143,222,2)
[22:28:17]ATTACK: supper noob(noober84555) fired at Atrium with The death bolt Fore Primary Hallway   (143,222,2)
